[2026-04-03 02:11:48] No settings files found: /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings.bin and /home/pedro/repo/mindustry-ia-inteface-mod/rl/server_data/instance_2/config/settings_backup.bin
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:09] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:10] Saving 2 values; 44 bytes
[2026-04-03 09:57:11] Saving 2 values; 44 bytes
[2026-04-03 09:57:11] Saving 2 values; 44 bytes
[2026-04-03 09:57:11] Saving 2 values; 44 bytes
[2026-04-03 09:57:11] Saving 2 values; 44 bytes
[2026-04-03 09:57:11] Saving 2 values; 44 bytes
[2026-04-03 09:57:11] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:12] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
[2026-04-03 09:57:13] Saving 2 values; 44 bytes
